ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
sec,kph,rpm,deg,deg,cm,cm,kPa,N,N,N,N-m,N-m,none,none,deg C,deg C,deg C,deg C,deg F,none
625.659,40.25,415.24,5.044,1.018,24.591,25.621,55.44,-36.05,-2607.35,-1133.75,48.22,48.95,0.03,2.30,27.59,59.39,67.03,59.23,84.43,-0.040
625.679,40.26,415.36,4.968,1.035,24.591,25.623,55.44,-24.96,-2617.18,-1138.45,44.56,51.36,0.02,2.30,27.46,59.33,66.92,59.18,84.44,-0.040
625.699,40.30,415.24,4.886,1.018,24.599,25.654,55.44,-31.16,-2600.63,-1125.90,45.63,48.92,0.03,2.31,27.34,59.28,66.85,59.14,84.42,-0.041
625.719,40.32,415.32,4.794,1.019,24.601,25.664,55.44,-44.38,-2569.59,-1116.34,47.94,45.14,0.04,2.30,27.44,59.20,66.74,59.17,84.45,-0.041
625.739,40.35,415.24,4.721,1.024,24.603,25.696,55.44,-50.32,-2551.74,-1110.34,46.81,47.70,0.05,2.30,27.57,59.13,66.63,59.11,84.41,-0.043
625.759,40.36,415.24,4.636,1.024,24.605,25.705,55.37,-51.26,-2541.94,-1115.69,48.16,51.47,0.05,2.28,27.38,59.04,66.50,59.08,84.46,-0.043
625.779,40.38,415.51,4.544,1.021,24.610,25.700,55.37,-47.05,-2534.90,-1124.86,46.82,53.33,0.04,2.25,27.38,59.00,66.40,59.08,84.43,-0.042
625.799,40.38,415.71,4.470,1.025,24.615,25.691,55.31,-28.96,-2531.22,-1143.87,46.83,57.88,0.03,2.21,27.48,58.93,66.28,59.08,84.45,-0.042
625.819,40.34,415.63,4.383,1.024,24.619,25.675,55.44,-20.72,-2528.38,-1149.86,46.17,59.79,0.02,2.20,27.46,58.84,66.14,59.07,84.43,-0.041
625.839,40.33,415.43,4.303,1.021,24.630,25.684,55.44,-20.91,-2514.75,-1137.69,44.88,59.26,0.02,2.21,27.49,58.76,65.99,59.05,84.43,-0.041
625.859,40.30,415.04,4.230,1.022,24.637,25.692,55.44,-21.75,-2487.96,-1127.66,44.79,58.22,0.02,2.21,27.48,58.72,65.90,59.01,84.45,-0.041
625.879,40.28,414.73,4.151,1.021,24.643,25.700,55.44,-35.11,-2458.97,-1123.15,43.86,56.81,0.03,2.19,27.46,58.60,65.77,59.00,84.41,-0.041
625.899,40.25,414.26,4.075,1.021,24.645,25.713,55.37,-56.23,-2429.06,-1127.66,45.98,54.91,0.05,2.15,27.40,58.55,65.66,58.98,84.46,-0.042
625.919,40.20,414.22,3.984,1.021,24.653,25.686,55.37,-64.16,-2399.94,-1130.44,46.86,54.67,0.06,2.12,27.42,58.46,65.55,58.97,84.42,-0.040
625.939,40.16,414.07,3.908,1.024,24.658,25.674,55.37,-48.45,-2389.31,-1149.89,47.06,60.14,0.04,2.08,27.49,58.40,65.41,58.92,84.45,-0.040
625.959,40.14,413.99,3.818,1.016,24.666,25.670,55.44,-26.62,-2400.27,-1161.32,44.11,65.80,0.02,2.07,27.48,58.30,65.27,58.89,84.42,-0.039
625.979,40.11,413.83,3.732,1.021,24.679,25.661,55.37,-22.05,-2401.21,-1151.33,41.44,66.59,0.02,2.09,27.49,58.22,65.16,58.88,84.44,-0.038
625.999,40.11,413.48,3.657,1.021,24.689,25.682,55.44,-23.00,-2369.57,-1138.37,42.70,66.50,0.02,2.08,27.53,58.09,65.07,58.89,84.44,-0.039
626.019,40.09,413.05,3.591,1.019,24.691,25.702,55.44,-32.00,-2328.92,-1125.91,43.52,66.31,0.03,2.07,27.48,57.99,64.92,58.86,84.42,-0.039
626.039,40.08,412.74,3.509,1.021,24.698,25.714,55.44,-53.20,-2302.54,-1128.63,44.36,65.35,0.05,2.04,27.46,57.92,64.81,58.85,84.46,-0.040
626.059,40.06,412.62,3.435,1.022,24.702,25.715,55.31,-52.79,-2290.03,-1134.33,43.46,67.03,0.05,2.02,27.46,57.84,64.66,58.84,84.42,-0.039
626.079,40.05,412.66,3.353,1.024,24.713,25.703,55.24,-40.58,-2275.40,-1145.82,42.07,69.49,0.04,1.99,27.46,57.74,64.53,58.82,84.45,-0.039
626.099,40.03,412.66,3.270,1.025,24.721,25.693,55.31,-42.53,-2265.58,-1156.50,41.46,68.65,0.04,1.96,27.42,57.65,64.42,58.81,84.42,-0.038
626.119,40.02,412.46,3.188,1.021,24.726,25.704,55.17,-47.61,-2254.52,-1154.44,41.17,66.93,0.04,1.95,27.40,57.58,64.28,58.84,84.45,-0.038
626.139,40.03,412.27,3.115,1.028,24.730,25.721,55.17,-42.23,-2237.46,-1142.53,41.67,68.62,0.04,1.96,27.48,57.49,64.17,58.84,84.43,-0.039
626.159,40.05,412.19,3.037,1.024,24.745,25.743,55.10,-37.69,-2221.79,-1129.66,39.23,71.39,0.03,1.97,27.48,57.42,64.07,58.82,84.43,-0.039
626.179,40.08,412.03,2.958,1.022,24.747,25.772,55.10,-51.55,-2193.46,-1126.34,38.85,71.46,0.05,1.95,27.51,57.32,63.96,58.84,84.44,-0.040
626.199,40.12,411.96,2.872,1.018,24.756,25.806,55.04,-59.16,-2153.22,-1129.38,40.63,72.12,0.05,1.91,27.49,57.24,63.84,58.76,84.41,-0.041
626.219,40.11,412.15,2.789,1.029,24.761,25.793,55.04,-48.15,-2122.13,-1136.59,39.27,75.57,0.04,1.87,27.48,57.14,63.68,58.76,84.46,-0.040
626.239,40.12,412.23,2.705,1.018,24.776,25.796,54.97,-46.36,-2103.07,-1157.20,39.40,75.17,0.04,1.82,27.48,57.03,63.55,58.76,84.41,-0.040
626.259,40.15,412.31,2.621,1.019,24.783,25.811,54.83,-47.17,-2094.78,-1163.67,35.76,73.84,0.04,1.80,27.46,56.94,63.41,58.79,84.46,-0.040
626.279,40.18,412.31,2.547,1.021,24.793,25.833,54.90,-40.00,-2073.55,-1155.03,34.03,74.60,0.03,1.80,27.49,56.86,63.29,58.78,84.43,-0.040
626.299,40.20,412.50,2.470,1.024,24.798,25.831,54.77,-52.22,-2031.52,-1142.12,35.94,71.28,0.05,1.78,27.38,56.76,63.16,58.76,84.44,-0.040
626.319,40.23,412.46,2.378,1.021,24.806,25.853,54.83,-74.03,-1992.09,-1137.31,36.86,68.62,0.07,1.75,27.49,56.69,63.00,58.79,84.45,-0.041
626.339,40.25,412.74,2.290,1.022,24.816,25.856,54.77,-72.72,-1956.93,-1132.70,35.72,72.22,0.06,1.73,27.48,56.60,62.91,58.78,84.42,-0.040
626.359,40.25,413.01,2.200,1.025,24.821,25.840,54.70,-61.44,-1921.69,-1138.22,33.59,76.04,0.05,1.69,27.46,56.50,62.75,58.78,84.45,-0.039
626.379,40.27,413.28,2.116,1.027,24.829,25.834,54.77,-54.66,-1884.13,-1156.69,32.22,76.65,0.05,1.63,27.40,56.40,62.64,58.78,84.41,-0.039
626.399,40.26,413.48,2.036,1.024,24.841,25.820,54.63,-43.37,-1846.64,-1170.54,30.43,77.54,0.04,1.58,27.40,56.32,62.53,58.81,84.45,-0.038
